industrial,homebrew,capacitive,timestamp
315.0000,317,0,2015-02-11T01:24:03.378Z
496.0000,430,-2,2015-02-11T01:24:02.504Z
338.0000,340,-2,2015-02-11T01:22:35.236Z
497.0000,431,-2,2015-02-11T01:22:32.733Z
348.0000,346,-2,2015-02-11T01:22:03.955Z
343.0000,345,-2,2015-02-11T01:21:15.448Z
500.0000,434,-2,2015-02-11T01:20:06.011Z
352.0000,354,0,2015-02-11T01:15:09.307Z
504.0000,439,-2,2015-02-11T01:15:08.308Z
332.0000,332,-2,2015-02-11T01:09:33.877Z
359.0000,357,-2,2015-02-11T01:06:22.657Z
338.0000,335,-2,2015-02-11T01:06:02.757Z
341.0000,337,-2,2015-02-11T01:05:50.893Z
351.0000,346,-2,2015-02-11T01:05:42.143Z
333.0000,331,-2,2015-02-11T01:05:31.765Z
354.0000,352,-2,2015-02-11T01:05:23.638Z
490.0000,241,773,2015-02-04T00:29:06.674Z
995.0000,227,857,2015-02-03T23:29:09.382Z
1005.0000,226,1729,2015-02-03T22:29:12.092Z
1009.0000,225,1042,2015-02-03T21:29:14.802Z
1008.0000,226,1078,2015-02-03T20:29:17.522Z
1005.0000,227,1652,2015-02-03T19:29:20.211Z
1015.0000,227,164,2015-02-03T18:29:22.999Z
1013.0000,227,1530,2015-02-03T17:29:25.882Z
1011.0000,227,401,2015-02-03T16:29:28.840Z
1013.0000,226,342,2015-02-03T15:29:31.807Z
1014.0000,226,343,2015-02-03T14:29:34.763Z
1014.0000,226,1699,2015-02-03T13:29:37.722Z
1017.0000,225,1520,2015-02-03T12:29:40.683Z
1019.0000,225,282,2015-02-03T11:29:43.647Z
1020.0000,225,765,2015-02-03T10:29:46.486Z
1014.0000,225,197,2015-02-03T09:29:47.895Z
987.0000,225,618,2015-02-03T08:29:50.663Z
994.0000,226,400,2015-02-03T07:29:53.629Z
1007.0000,225,1286,2015-02-03T06:29:56.587Z
1008.0000,224,0,2015-02-03T05:29:59.546Z
1009.0000,224,707,2015-02-03T04:30:02.512Z
1012.0000,224,1177,2015-02-03T03:30:05.397Z
1012.0000,223,1645,2015-02-03T02:30:08.176Z
1016.0000,224,420,2015-02-03T01:30:11.013Z
1018.0000,222,947,2015-02-03T00:30:13.975Z
1013.0000,223,384,2015-02-02T18:30:23.132Z
1010.0000,221,374,2015-02-02T17:30:24.575Z
1012.0000,225,824,2015-02-02T16:30:27.259Z
992.0000,226,365,2015-02-02T15:30:28.969Z
975.0000,223,358,2015-02-02T14:30:31.804Z
1010.0000,221,211,2015-02-02T13:30:34.207Z
1012.0000,224,737,2015-02-02T12:30:37.095Z
1016.0000,224,104,2015-02-02T11:30:39.056Z
1017.0000,224,883,2015-02-02T10:30:42.015Z
1017.0000,224,372,2015-02-02T09:30:44.975Z
